Medal,Number_of_Medals,region,Year,Sport
Silver,7,Netherlands,2004,Swimming
Silver,1,USA,1900,Tennis
Bronze,4,France,1964,Athletics
Silver,3,Hungary,1972,Canoeing
Bronze,3,China,2012,Shooting
Silver,1,China,1996,Badminton
Silver,2,Russia,1976,Judo
Bronze,4,Norway,1988,Ski Jumping
Gold,2,Hungary,1992,Wrestling
Bronze,1,Romania,1952,Boxing
Silver,1,Italy,2014,Short Track Speed Skating
Silver,20,Japan,1996,Baseball
Gold,11,Russia,2016,Synchronized Swimming
Gold,1,Italy,1948,Athletics
Silver,7,USA,1912,Shooting
Silver,1,USA,1984,Shooting
Silver,3,France,1996,Cycling
Silver,1,Switzerland,1920,Wrestling
Silver,3,Switzerland,1984,Equestrianism
Bronze,1,Sweden,1912,Modern Pentathlon
Silver,1,Canada,1996,Boxing
Silver,6,Germany,1912,Swimming
Silver,1,Germany,2008,Wrestling
Gold,2,Russia,1984,Speed Skating
Bronze,1,Italy,2016,Wrestling
Silver,16,China,2008,Hockey
Bronze,2,Poland,1980,Wrestling
Gold,20,India,1948,Hockey
Bronze,1,Belarus,1998,Freestyle Skiing
Bronze,1,Belgium,1912,Equestrianism
Gold,1,Spain,2004,Gymnastics
Gold,1,Romania,1968,Fencing
Gold,2,New Zealand,2004,Rowing
Bronze,5,Estonia,1928,Sailing
Bronze,2,Liechtenstein,1976,Alpine Skiing
Bronze,6,USA,1948,Fencing
Bronze,3,USA,1952,Diving
Gold,2,Slovenia,2000,Rowing
Silver,1,France,1900,Polo
Bronze,4,Romania,1972,Fencing
Bronze,4,UK,1996,Rowing
Gold,3,UK,2016,Sailing
Bronze,8,USA,2000,Athletics
Bronze,3,France,2016,Sailing
Bronze,4,Brazil,1980,Swimming
Bronze,1,USA,1928,Boxing
Gold,5,Italy,2006,Cross Country Skiing
Silver,8,USA,1964,Swimming
Silver,3,Bulgaria,1956,Wrestling
Gold,4,Kenya,1988,Athletics
Bronze,4,USA,1904,Tug-Of-War
Bronze,18,Canada,2012,Football
Bronze,6,USA,2000,Gymnastics
Bronze,1,Poland,1996,Weightlifting
Bronze,2,USA,1928,Diving
Gold,6,UK,1900,Tennis
Silver,6,Canada,1932,Sailing
Gold,5,Hungary,1992,Swimming
Bronze,2,Netherlands,1936,Sailing
Gold,1,Belgium,1924,Fencing
Bronze,1,Switzerland,2016,Shooting
Silver,3,Switzerland,1948,Art Competitions
Silver,2,Russia,1996,Shooting
Gold,4,Romania,1956,Canoeing
Bronze,1,Sweden,2002,Cross Country Skiing
Bronze,5,France,2012,Judo
Silver,1,Italy,2008,Swimming
Gold,1,Switzerland,2004,Fencing
Silver,10,Germany,1996,Swimming
Bronze,1,Italy,1906,Fencing
Silver,1,Morocco,1992,Athletics
Silver,2,Estonia,2008,Rowing
Bronze,3,UK,1936,Equestrianism
Gold,15,Russia,2000,Handball
Bronze,1,USA,2006,Snowboarding
Silver,9,China,2012,Synchronized Swimming
Bronze,1,Taiwan,1968,Athletics
Gold,13,Canada,1904,Football
Bronze,1,USA,2016,Wrestling
Bronze,1,UK,1948,Skeleton
Bronze,3,Ukraine,2008,Wrestling
Bronze,1,Australia,1984,Shooting
Gold,2,Egypt,1936,Weightlifting
Bronze,1,Australia,1896,Tennis
Silver,1,USA,1992,Shooting
Bronze,13,China,1984,Handball
Bronze,2,Taiwan,2008,Taekwondo
Bronze,3,France,1996,Judo
Bronze,2,Moldova,2012,Weightlifting
Silver,8,USA,1904,Archery
Gold,4,UK,1980,Athletics
Gold,1,USA,1948,Shooting
Silver,2,France,1904,Athletics
Bronze,3,Netherlands,1984,Swimming
Gold,1,Russia,2008,Tennis
Silver,1,Russia,2006,Speed Skating
Silver,4,Spain,1976,Canoeing
Silver,2,South Korea,2002,Short Track Speed Skating
Silver,9,France,1924,Rowing
Silver,4,Belgium,1920,Equestrianism
Gold,1,Australia,2016,Rowing
Bronze,1,Brazil,1988,Athletics
Bronze,11,Netherlands,2004,Rowing
Gold,1,Ukraine,2008,Athletics
Bronze,2,France,1996,Canoeing
Gold,1,Canada,1908,Shooting
Silver,2,Brazil,2008,Beach Volleyball
Gold,5,USA,1928,Bobsleigh
Bronze,2,Italy,2002,Figure Skating
Bronze,2,Germany,2000,Sailing
Gold,2,France,1912,Shooting
Gold,5,Australia,1960,Equestrianism
Gold,4,Italy,1984,Modern Pentathlon
Bronze,1,Finland,1924,Sailing
Bronze,4,Poland,1988,Boxing
Silver,1,France,1936,Canoeing
Gold,6,UK,1908,Motorboating
Silver,2,Namibia,1992,Athletics
Silver,1,France,1948,Alpine Skiing
Gold,1,Zimbabwe,2004,Swimming
Bronze,1,Serbia,1988,Ski Jumping
Bronze,1,Belarus,2000,Wrestling
Gold,5,Germany,1994,Ski Jumping
Bronze,1,Syria,1960,Boxing
Silver,2,USA,2006,Bobsleigh
Silver,1,Serbia,1984,Alpine Skiing
Silver,1,Romania,2000,Swimming
Bronze,3,Switzerland,1960,Sailing
Silver,9,Belgium,1908,Rowing
Bronze,1,Bulgaria,1980,Gymnastics
Silver,9,Australia,1996,Swimming
Bronze,5,Romania,1968,Fencing
Gold,1,Australia,2000,Shooting
Silver,6,Hungary,1968,Fencing
Bronze,1,Bulgaria,1992,Athletics
Silver,6,Canada,1976,Swimming
Silver,2,Germany,1992,Table Tennis
Silver,3,China,1992,Table Tennis
Bronze,1,USA,1976,Judo
Gold,4,USA,2008,Beach Volleyball
Gold,3,Switzerland,1900,Sailing
Gold,3,Russia,1956,Modern Pentathlon
Bronze,4,Russia,1998,Biathlon
Silver,1,Australia,1996,Cycling
Bronze,1,China,2012,Badminton
Bronze,1,Zimbabwe,2004,Swimming
Bronze,1,China,2008,Trampolining
Bronze,1,Sweden,1948,Cross Country Skiing
Silver,2,Russia,1968,Diving
Gold,6,Germany,1992,Biathlon
Silver,1,France,2016,Modern Pentathlon
Silver,2,Romania,1976,Canoeing
Gold,4,Netherlands,1968,Cycling
Bronze,3,Italy,1964,Equestrianism
Gold,1,Greece,1992,Weightlifting
Silver,18,Bulgaria,1968,Football
Silver,10,Russia,1968,Gymnastics
Bronze,12,Brazil,2000,Volleyball
Silver,3,USA,1936,Wrestling
Silver,15,Germany,1984,Handball
Bronze,2,France,2000,Table Tennis
Bronze,9,New Zealand,1976,Rowing
Silver,1,Belgium,2012,Shooting
Silver,4,Canada,1988,Swimming
Bronze,4,Belgium,1920,Cycling
Silver,13,USA,1992,Athletics
Gold,1,Romania,2008,Athletics
Silver,3,China,2000,Fencing
Silver,5,France,1960,Rowing
Silver,15,UK,1908,Shooting
Bronze,1,France,1920,Boxing
Bronze,1,USA,1936,Speed Skating
Gold,1,Japan,1956,Swimming
Gold,9,France,1936,Cycling
Bronze,1,Brazil,2008,Swimming
Silver,11,France,1924,Gymnastics
Gold,7,Australia,1956,Athletics
Silver,13,UK,1912,Cycling
Bronze,1,Germany,1906,Athletics
Bronze,1,Austria,1980,Alpine Skiing
Bronze,1,Czech Republic,1976,Athletics
Bronze,1,Italy,2004,Gymnastics
Gold,11,Romania,1996,Rowing
Bronze,3,Canada,1972,Sailing
Gold,5,Italy,1928,Rowing
Bronze,6,Netherlands,2004,Swimming
Gold,1,Dominican Republic,2008,Boxing
Silver,1,France,1906,Fencing
Gold,2,France,2000,Judo
Silver,1,Denmark,2012,Rowing
Silver,3,Czech Republic,1956,Cycling
Silver,3,New Zealand,2016,Cycling
Silver,1,France,1972,Alpine Skiing
Bronze,1,Serbia,2008,Tennis
Silver,5,Netherlands,1968,Rowing
Bronze,1,Bahamas,2004,Athletics
Gold,4,South Africa,2004,Swimming
Gold,3,Germany,2002,Speed Skating
Silver,2,South Korea,2012,Shooting
Gold,1,USA,2010,Speed Skating
Silver,7,Russia,1988,Canoeing
Gold,4,Australia,1996,Equestrianism
Silver,10,Czech Republic,1928,Gymnastics
Gold,1,Spain,2000,Judo
Bronze,1,Czech Republic,1980,Boxing
Bronze,6,Hungary,1956,Fencing
Bronze,14,Russia,2004,Handball
Silver,1,Germany,2008,Gymnastics
Silver,1,Denmark,1908,Swimming
Gold,2,France,2012,Judo
Bronze,2,Turkey,2016,Wrestling
Silver,5,USA,1928,Bobsleigh
Gold,1,Sweden,1920,Modern Pentathlon
Bronze,4,Switzerland,2010,Curling
Silver,4,Switzerland,1988,Alpine Skiing
Gold,1,Germany,1980,Boxing
Bronze,7,Greece,1906,Rowing
Bronze,2,Canada,1936,Canoeing
Bronze,1,Romania,2004,Athletics
Bronze,2,USA,2016,Shooting
Silver,4,USA,1932,Diving
Bronze,1,France,1936,Shooting
Silver,3,Germany,1960,Wrestling
Silver,2,USA,1996,Beach Volleyball
Gold,1,Finland,1960,Gymnastics
Bronze,1,Bulgaria,1988,Swimming
Gold,1,Switzerland,1964,Equestrianism
Bronze,2,France,1984,Athletics
Silver,2,Australia,1928,Swimming
Bronze,4,China,2008,Gymnastics
Silver,5,Russia,1992,Biathlon
Bronze,2,Canada,1996,Beach Volleyball
Gold,7,USA,1904,Swimming
Bronze,3,Germany,1964,Wrestling
Silver,2,Canada,1936,Canoeing
Gold,1,Argentina,2012,Taekwondo
Bronze,8,Hungary,1936,Gymnastics
Silver,1,Italy,1928,Art Competitions
Bronze,3,USA,1964,Athletics
Bronze,1,Mongolia,1992,Shooting
Gold,4,Italy,1928,Cycling
Gold,8,Germany,2006,Biathlon
Bronze,1,Italy,2012,Judo
Silver,3,Greece,1896,Shooting
Bronze,2,Japan,1936,Art Competitions
Gold,19,Australia,1956,Swimming
Silver,4,Italy,1956,Equestrianism
Silver,11,Japan,2000,Synchronized Swimming
Silver,1,France,2014,Biathlon
Silver,3,Australia,1904,Swimming
Gold,5,South Korea,2012,Archery
Bronze,3,Romania,1976,Gymnastics
Silver,2,UK,1924,Tennis
Bronze,11,Netherlands,1912,Fencing
Gold,6,China,1996,Table Tennis
Gold,1,Romania,2008,Judo
Bronze,5,Sweden,1936,Sailing
Gold,3,USA,2002,Speed Skating
Bronze,2,Brazil,1976,Sailing
Bronze,1,Hungary,2012,Judo
Silver,10,USA,1932,Gymnastics
Bronze,6,South Korea,2008,Table Tennis
Bronze,2,France,1900,Tennis
Silver,1,USA,1992,Diving
Silver,4,Germany,1984,Speed Skating
Silver,1,Germany,1994,Luge
Bronze,2,Argentina,2004,Sailing
Gold,1,Italy,1992,Canoeing
Silver,12,Canada,2014,Figure Skating
Gold,3,China,1988,Table Tennis
Bronze,1,Italy,1960,Alpine Skiing
Bronze,6,Russia,1960,Fencing
Gold,1,UK,1976,Figure Skating
Bronze,2,France,1900,Cycling
Bronze,2,Italy,2016,Swimming
Silver,1,Germany,1956,Wrestling
Gold,17,Brazil,2016,Football
Gold,26,USA,1904,Athletics
Silver,2,UK,1924,Boxing
Silver,1,Australia,2012,Canoeing
Silver,4,South Korea,1998,Short Track Speed Skating
Silver,2,UK,1932,Cycling
Silver,2,Slovenia,2004,Rowing
Gold,1,Belgium,1920,Weightlifting
Bronze,3,Netherlands,1920,Cycling
Silver,11,Norway,1936,Sailing
Bronze,4,Brazil,1988,Sailing
Bronze,1,Italy,2000,Canoeing
Gold,5,USA,1904,Tug-Of-War
Gold,4,Germany,1928,Equestrianism
Gold,3,USA,1972,Wrestling
Gold,1,Serbia,1968,Gymnastics
Bronze,2,France,1900,Athletics
Gold,2,Argentina,2008,Cycling
Gold,11,Russia,2012,Synchronized Swimming
Bronze,15,Germany,2016,Handball
Bronze,6,Australia,2000,Rowing
Bronze,1,Romania,1956,Boxing
Silver,5,Bulgaria,1980,Rowing
Bronze,2,Germany,2008,Diving
Bronze,5,Sweden,2006,Cross Country Skiing
Bronze,5,Japan,1964,Swimming
Bronze,3,Georgia,2000,Wrestling
Silver,14,Australia,1968,Hockey
Bronze,4,France,2002,Biathlon
Silver,1,Argentina,2016,Tennis
Silver,1,Argentina,2000,Sailing
Silver,4,Sweden,1912,Tennis
Bronze,2,Romania,1984,Judo
Bronze,1,South Africa,1932,Athletics
Silver,11,China,1992,Basketball
Gold,1,Brazil,1956,Athletics
Bronze,3,Norway,2000,Sailing
Silver,6,Hungary,1960,Fencing
Silver,2,Malaysia,2016,Diving
Bronze,1,USA,1972,Alpine Skiing
Bronze,1,Czech Republic,1968,Athletics
Silver,1,France,1984,Swimming
Silver,4,Romania,2012,Fencing
Silver,2,Ukraine,2008,Wrestling
Gold,4,UK,1912,Swimming
Gold,5,USA,1976,Equestrianism
Bronze,11,China,1988,Volleyball
Silver,3,France,1906,Shooting
Silver,3,France,1900,Tennis
Silver,13,Australia,2008,Swimming
Gold,3,Belarus,2014,Biathlon
Silver,3,Austria,1956,Alpine Skiing
Bronze,1,Germany,2006,Speed Skating
Silver,3,Australia,1972,Cycling
Gold,1,France,1906,Rowing
Gold,1,Switzerland,1980,Cycling
Gold,1,Denmark,1960,Sailing
Silver,2,Australia,2000,Cycling
Silver,4,Norway,1976,Cross Country Skiing
Silver,2,USA,1964,Canoeing
Silver,1,Serbia,1976,Wrestling
Silver,2,Italy,1928,Weightlifting
Silver,9,UK,1980,Rowing
Bronze,1,Romania,2000,Swimming
Silver,1,Italy,1952,Athletics
Bronze,6,UK,2008,Equestrianism
Silver,1,Sweden,1988,Boxing
Bronze,6,France,1956,Fencing
Bronze,2,Russia,2010,Figure Skating
Bronze,5,Switzerland,2002,Curling
Bronze,3,Germany,1976,Figure Skating
Silver,1,Argentina,1996,Sailing
Bronze,3,Sweden,1948,Wrestling
Gold,8,Canada,2014,Curling
Bronze,3,China,2016,Swimming
Gold,8,China,2012,Gymnastics
Bronze,3,USA,1928,Swimming
Silver,4,South Africa,1920,Athletics
Bronze,1,Switzerland,1984,Swimming
Gold,7,France,1952,Fencing
Gold,2,Australia,1996,Shooting
Gold,12,China,2016,Volleyball
Bronze,6,Poland,1932,Fencing
Bronze,1,Italy,2006,Speed Skating
Bronze,1,Israel,1996,Sailing
Gold,1,Italy,1924,Athletics
Silver,2,Japan,2012,Badminton
Silver,11,Japan,2004,Synchronized Swimming
Silver,3,null,2008,Table Tennis
Silver,1,Australia,1988,Boxing
Silver,6,Kenya,2016,Athletics
Bronze,1,USA,1992,Diving
Silver,1,UK,1920,Art Competitions
Bronze,2,UK,1928,Swimming
Bronze,4,Belgium,1924,Cycling
Gold,2,Russia,2012,Canoeing
Silver,1,Cuba,1964,Athletics
Gold,2,UK,1992,Athletics
Gold,2,UK,2016,Canoeing
Gold,5,Netherlands,1924,Equestrianism
Gold,7,UK,1908,Water Polo
Gold,13,Fiji,2016,Rugby Sevens
Gold,1,Greece,1924,Art Competitions
Silver,6,Hungary,2012,Canoeing
Gold,1,Canada,2016,Athletics
Gold,1,France,2000,Shooting
Gold,4,Australia,2000,Equestrianism
Gold,5,Germany,1932,Rowing
Gold,15,Japan,2008,Softball
Bronze,6,Hungary,1976,Fencing
Bronze,1,Australia,2000,Shooting
Silver,5,Malaysia,2016,Badminton
Gold,1,France,2014,Freestyle Skiing
Bronze,2,France,1906,Gymnastics
Bronze,1,Italy,1956,Shooting
Silver,6,Netherlands,2012,Equestrianism
Gold,1,Romania,2000,Fencing
Bronze,1,Niger,1972,Boxing
Gold,3,Netherlands,2006,Speed Skating
Silver,1,Russia,2016,Taekwondo
Silver,8,Germany,2002,Biathlon
Bronze,2,Germany,2006,Biathlon
Bronze,3,Russia,2004,Judo
Bronze,1,Germany,1992,Luge
Silver,6,Austria,1992,Ski Jumping
Bronze,7,China,1984,Gymnastics
Silver,1,UK,1948,Weightlifting
Bronze,1,France,2006,Snowboarding
Bronze,1,Brazil,1980,Athletics
Bronze,1,Belgium,1906,Cycling
Silver,1,Italy,2000,Sailing
Silver,2,Norway,1976,Speed Skating
Bronze,1,Italy,2012,Athletics
Silver,1,Mongolia,2016,Judo
Gold,1,France,1976,Athletics
Gold,2,France,2012,Canoeing
Silver,1,Hungary,1968,Weightlifting
Gold,1,Germany,2008,Triathlon
Bronze,6,Poland,1960,Athletics
Bronze,2,USA,2010,Snowboarding
Gold,13,USA,2016,Water Polo
Gold,3,Australia,1952,Cycling
Silver,2,Belgium,1984,Rowing
Bronze,2,Hungary,1972,Canoeing
Silver,1,Australia,1988,Canoeing
Bronze,8,Australia,1996,Rowing
Bronze,1,Spain,2004,Equestrianism
Gold,2,Sweden,2000,Shooting
Gold,2,Mexico,2008,Taekwondo
Silver,2,UK,1992,Judo
Silver,1,Switzerland,2012,Tennis
Bronze,1,Venezuela,1960,Shooting
Bronze,1,Argentina,1948,Boxing
Bronze,1,Spain,2016,Cycling
Bronze,13,USA,2004,Swimming
Silver,6,UK,2004,Cycling
Silver,3,France,1964,Rowing
Silver,2,USA,2010,Figure Skating
Silver,1,Italy,1964,Diving
Silver,3,Switzerland,1968,Sailing
Gold,4,Denmark,2004,Rowing
Silver,3,USA,2016,Archery
Gold,2,Brazil,2004,Beach Volleyball
Gold,2,USA,2004,Shooting
Silver,1,New Zealand,2004,Canoeing
Bronze,1,Finland,1928,Speed Skating
Gold,1,Sweden,2000,Swimming
Silver,4,Ukraine,1996,Rowing
Silver,2,UK,1980,Athletics
Bronze,8,Russia,1968,Gymnastics
Silver,4,USA,2000,Sailing
Bronze,7,Canada,2002,Short Track Speed Skating
Silver,16,South Korea,1996,Hockey
Gold,2,Switzerland,2014,Cross Country Skiing
Gold,4,USA,1936,Diving
Bronze,1,USA,1996,Cycling
Gold,1,Romania,1976,Canoeing
Silver,1,Iceland,1956,Athletics
Silver,1,France,1998,Freestyle Skiing
Silver,5,Russia,1976,Wrestling
Silver,5,Poland,1980,Fencing
Silver,1,UK,1936,Figure Skating
Gold,10,USA,1984,Gymnastics
Bronze,2,USA,1896,Athletics
Bronze,2,UK,1994,Figure Skating
Gold,3,France,1920,Tennis
Silver,2,UK,2012,Canoeing
Bronze,2,Austria,1980,Luge
Bronze,4,Russia,2010,Biathlon
Gold,14,India,1952,Hockey
Bronze,2,USA,2008,Shooting
Silver,4,Canada,2008,Equestrianism
Silver,3,Zimbabwe,2008,Swimming
Bronze,2,France,1924,Cycling
Silver,9,Netherlands,2008,Rowing
Bronze,3,Germany,1988,Cycling
Bronze,1,USA,1968,Weightlifting
Bronze,2,Netherlands,1996,Rowing
Bronze,7,Finland,1924,Shooting
Gold,1,Germany,1996,Cycling
Silver,2,Russia,1968,Boxing
Gold,4,China,1984,Weightlifting
Bronze,7,Hungary,1952,Athletics
Gold,4,Poland,1992,Modern Pentathlon
Gold,3,Italy,1920,Rowing
Gold,2,Germany,2000,Athletics
Gold,14,Russia,1980,Swimming
Silver,8,USA,1936,Swimming
Bronze,1,Belgium,1948,Athletics
Bronze,2,Russia,2016,Swimming
Gold,2,Australia,2000,Beach Volleyball
Bronze,1,Romania,2008,Fencing
Silver,2,Cuba,1948,Sailing
Silver,6,Bulgaria,1996,Rhythmic Gymnastics
Silver,2,Poland,1980,Rowing
Bronze,2,Romania,1972,Canoeing
Silver,4,Australia,2004,Athletics
Gold,1,Cuba,1900,Fencing
Bronze,3,France,1936,Cycling
Bronze,15,Russia,1980,Rowing
Silver,1,Australia,1952,Cycling
Bronze,1,Austria,1972,Shooting
Gold,4,Netherlands,1964,Cycling
Bronze,2,Italy,1992,Canoeing
Bronze,2,Italy,2008,Canoeing
Silver,5,Russia,1980,Cross Country Skiing
Silver,2,China,2012,Shooting
Silver,2,Canada,1972,Swimming
Bronze,2,Cuba,2004,Athletics
Gold,1,Italy,1952,Athletics
Bronze,5,Trinidad,1960,Athletics
Silver,1,Switzerland,2014,Biathlon
Bronze,5,Norway,1998,Curling
Silver,1,Mexico,2004,Cycling
Bronze,1,USA,1980,Speed Skating
Gold,1,South Korea,2012,Taekwondo
Silver,4,Kenya,2008,Athletics
Silver,2,USA,2000,Boxing
Bronze,2,Germany,1976,Cycling
Silver,1,Netherlands,2008,Judo
Bronze,1,Romania,1992,Wrestling
Gold,2,USA,2004,Gymnastics
Silver,1,Germany,1988,Wrestling
Bronze,1,USA,1984,Boxing
Silver,1,Sweden,1924,Diving
Bronze,4,Kazakhstan,2016,Weightlifting
Bronze,9,Germany,1936,Rowing
Bronze,4,USA,1968,Diving
Silver,1,Ukraine,2004,Judo
Bronze,1,Australia,2014,Freestyle Skiing
Gold,1,Romania,1988,Athletics
Silver,3,USA,1992,Wrestling
Silver,1,France,2004,Judo
Silver,1,Denmark,2000,Shooting
Bronze,3,USA,1964,Shooting
Bronze,2,China,2010,Freestyle Skiing
Bronze,1,Belgium,1984,Rowing
Silver,3,South Korea,1996,Archery
Bronze,3,China,2008,Archery
Gold,4,China,2008,Rowing
Gold,3,Germany,1998,Alpine Skiing
Silver,1,Hungary,1968,Shooting
Bronze,8,Norway,1920,Shooting
Gold,3,Russia,1968,Athletics
Silver,1,France,1992,Table Tennis
Silver,1,USA,2004,Canoeing
Silver,3,France,1906,Football
Bronze,5,Russia,2014,Speed Skating
Bronze,1,Germany,2002,Biathlon
Bronze,13,Denmark,1948,Football
Silver,4,Japan,1994,Ski Jumping
Gold,2,Netherlands,2016,Rowing
Bronze,2,Austria,1964,Alpine Skiing
Bronze,4,Norway,2002,Cross Country Skiing
Bronze,5,Romania,1976,Fencing
Gold,1,Finland,1906,Athletics
Silver,2,UK,1906,Swimming
Silver,2,USA,1920,Wrestling
Bronze,2,Austria,2014,Alpine Skiing
Bronze,2,Germany,1964,Rowing
Bronze,1,USA,1908,Shooting
Bronze,3,Russia,1960,Speed Skating
Bronze,4,Finland,1960,Cross Country Skiing
Bronze,1,Bahrain,2012,Athletics
Silver,2,Norway,2010,Alpine Skiing
Bronze,1,South Korea,1952,Boxing
Gold,1,Russia,1976,Shooting
Bronze,1,Switzerland,2014,Alpine Skiing
Bronze,2,Hungary,2012,Wrestling
Gold,5,USA,1980,Speed Skating
Bronze,14,Japan,2004,Softball
Bronze,3,South Korea,2000,Judo
Bronze,1,UK,1900,Polo
Silver,3,Norway,1964,Speed Skating
Gold,1,Spain,2012,Taekwondo
Bronze,2,USA,1936,Diving
Silver,1,Taiwan,2004,Taekwondo
Gold,2,Argentina,1948,Boxing
Silver,1,South Korea,1964,Wrestling
Bronze,9,Czech Republic,1960,Rowing
Bronze,2,China,2016,Trampolining
Bronze,1,Italy,1920,Boxing
Silver,1,Germany,1912,Wrestling
Bronze,2,Greece,2012,Rowing
Silver,1,Austria,2000,Athletics
Bronze,1,France,1994,Freestyle Skiing
Gold,2,Japan,2016,Swimming
Gold,4,Denmark,1964,Rowing
Silver,3,Hungary,1956,Canoeing
Gold,3,UK,1906,Athletics
Gold,3,Finland,1936,Athletics
Bronze,4,Australia,2000,Swimming
Gold,2,Austria,1952,Alpine Skiing
Bronze,2,Russia,2008,Gymnastics
Bronze,1,Australia,1928,Cycling
Bronze,1,Switzerland,1988,Athletics
Bronze,2,UK,1972,Athletics
Bronze,2,Switzerland,2006,Alpine Skiing
Gold,1,France,1936,Weightlifting
Silver,1,Denmark,1896,Weightlifting
Bronze,1,China,2000,Cycling
Bronze,1,USA,1964,Canoeing
Silver,1,Denmark,1920,Wrestling
Silver,1,Finland,1948,Nordic Combined
Silver,1,Kazakhstan,2004,Boxing
Bronze,2,UK,1992,Judo
Gold,2,Netherlands,1928,Art Competitions
Bronze,2,Germany,1972,Diving
Gold,1,Austria,1948,Alpine Skiing
Silver,2,Sweden,1984,Wrestling
Gold,2,Bulgaria,1988,Weightlifting
Bronze,1,UK,1952,Swimming
Silver,1,UK,2000,Judo
Silver,1,China,1988,Shooting
Gold,4,South Korea,2008,Taekwondo
Bronze,1,Brazil,1972,Judo
Silver,1,Estonia,2004,Rowing
Gold,1,USA,1904,Roque
Silver,1,Russia,2000,Cycling
Bronze,1,USA,2000,Weightlifting
Bronze,2,Ukraine,2006,Figure Skating
Gold,1,France,1964,Equestrianism
Silver,1,Sweden,1998,Cross Country Skiing
Gold,2,China,1996,Badminton
Bronze,2,Italy,2006,Luge
Silver,1,Hungary,1964,Canoeing
Silver,2,Germany,2008,Rowing
Silver,3,Belgium,1920,Sailing
Bronze,1,North Korea,1992,Short Track Speed Skating
Gold,5,Russia,1956,Athletics
Silver,5,Germany,1980,Biathlon
Gold,2,Cuba,2000,Athletics
Bronze,2,France,1924,Art Competitions
Bronze,1,Chile,2004,Tennis
Silver,3,Germany,1960,Canoeing
Silver,1,Germany,1960,Rowing
Silver,1,Germany,1906,Diving
Bronze,5,New Zealand,1984,Rowing
Bronze,1,Austria,1968,Athletics
Bronze,1,South Korea,1988,Judo
Silver,2,Belarus,2012,Swimming
Gold,5,UK,1972,Equestrianism
Gold,1,France,1992,Freestyle Skiing
Silver,8,South Korea,2010,Short Track Speed Skating
Silver,5,Sweden,2014,Cross Country Skiing
Gold,3,Hungary,2016,Swimming
Silver,1,Romania,1988,Athletics
Silver,2,Sweden,2008,Cycling
Gold,2,France,1900,Equestrianism
Bronze,8,Germany,1952,Athletics
Bronze,1,UK,1948,Swimming
Gold,2,Australia,2004,Rowing
Silver,4,Germany,1908,Cycling
Silver,1,Egypt,1948,Wrestling
Gold,2,Germany,1980,Cycling
Bronze,1,Canada,1960,Figure Skating
Silver,2,North Korea,1980,Wrestling
Silver,1,Australia,2000,Triathlon
Gold,1,Sweden,1928,Figure Skating
Gold,2,UK,1932,Athletics
Silver,1,South Korea,2012,Boxing
Bronze,2,Australia,1912,Swimming
Bronze,2,USA,2002,Luge
Silver,1,South Korea,1964,Boxing
Bronze,1,Canada,1964,Athletics
Silver,1,Sweden,1972,Archery
Bronze,1,UK,1948,Athletics
Silver,1,Belgium,1920,Art Competitions
Gold,4,Germany,1976,Luge
Silver,3,Japan,1984,Gymnastics
Gold,2,France,2004,Rowing
Gold,1,USA,2012,Judo
Gold,6,Germany,1988,Athletics
Bronze,3,Japan,1988,Judo
Bronze,1,Ukraine,1996,Weightlifting
Bronze,6,China,1992,Badminton
Bronze,2,UK,1972,Judo
Gold,2,USA,1992,Canoeing
Bronze,3,USA,2000,Archery
Bronze,2,USA,2016,Tennis
Gold,3,Germany,2016,Shooting
Bronze,7,Russia,1972,Fencing
Bronze,1,UK,1908,Swimming
Bronze,1,South Africa,2012,Canoeing
Silver,5,Sweden,1908,Sailing
Gold,2,Italy,1972,Luge
Bronze,2,Georgia,2008,Wrestling
Gold,1,Cuba,1996,Judo
Bronze,1,Spain,2016,Taekwondo
Silver,4,Poland,1988,Cycling
Bronze,2,Russia,1980,Diving
Gold,4,Japan,1984,Judo
Silver,1,Greece,2016,Swimming
Gold,12,Russia,1960,Fencing
Bronze,24,South Korea,2000,Baseball
Silver,1,Hungary,1996,Swimming
Silver,3,Germany,2012,Gymnastics
Bronze,1,Japan,1998,Ski Jumping
Bronze,8,Czech Republic,1920,Ice Hockey
Bronze,3,Switzerland,1980,Alpine Skiing
Gold,4,UK,1924,Curling
Bronze,3,Ukraine,1996,Wrestling
Silver,1,Denmark,2012,Shooting
Silver,13,Germany,1964,Swimming
Silver,2,Netherlands,2006,Speed Skating
Bronze,1,Hungary,1964,Shooting
Bronze,1,Sweden,1948,Speed Skating
Silver,6,Norway,1912,Shooting
Bronze,1,Hungary,1906,Wrestling
Bronze,2,South Korea,2008,Badminton
Gold,1,Norway,2014,Alpine Skiing
Silver,1,Italy,2016,Judo
Silver,2,Cuba,1992,Boxing
Silver,2,Russia,1968,Figure Skating
Bronze,2,Norway,1984,Rowing
Gold,1,France,1968,Equestrianism
Bronze,2,Netherlands,1992,Cycling
Gold,1,USA,2002,Figure Skating
Silver,1,Mongolia,1980,Wrestling
Bronze,1,South Korea,1984,Judo
Silver,1,Poland,1952,Gymnastics
Bronze,1,Russia,1972,Archery
Silver,2,Luxembourg,1992,Alpine Skiing
Bronze,1,Slovenia,2014,Biathlon
Bronze,2,USA,1998,Luge
Silver,1,Austria,1936,Rowing
Bronze,9,USA,1912,Shooting
Gold,9,Hungary,2000,Canoeing
